id,gender ,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,result,,,,,,,,,,,,,,
196,M,0,1,0,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
197,F,0,1,1,1,0,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,
198,F,0,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
199,F,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
200,F,1,1,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
201,M,1,1,1,0,1,0,0,1,0,0,0,1,1,,,,,,,,,,,,,,
202,F,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
203,M,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
204,F,0,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
205,M,1,1,0,0,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
206,F,0,1,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
207,F,0,1,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
208,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
209,F,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
210,F,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
211,M,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
212,F,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
213,F,1,1,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
214,F,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
215,F,0,1,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
216,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
217,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
218,F,0,1,1,1,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,
219,F,0,1,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
220,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
221,M,0,1,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
222,F,0,0,0,0,1,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,
223,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
224,F,0,1,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
225,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
226,M,0,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,
227,F,0,1,1,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,
228,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
229,M,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
230,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
231,F,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
232,M,0,1,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
233,M,0,1,0,0,0,1,0,0,0,0,0,1,2,,,,,,,,,,,,,,
234,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
235,M,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,
